file                                         format  type    num_seqs        sum_len  min_len  avg_len  max_len
S-40-2023_19_S19_L002_R1_001.clean.fastq.gz  FASTQ   DNA   13,872,975  1,845,088,034       15      133      151
S-40-2023_19_S19_L002_R2_001.clean.fastq.gz  FASTQ   DNA   13,872,975  1,845,265,771       15      133      151
S-40-2023_1_S1_L001_R1_001.clean.fastq.gz    FASTQ   DNA   13,007,334  1,733,426,758       16    133.3      151
S-40-2023_1_S1_L001_R2_001.clean.fastq.gz    FASTQ   DNA   13,007,334  1,733,642,663       15    133.3      151
S-40-2023_1_S1_L002_R1_001.clean.fastq.gz    FASTQ   DNA   12,802,284  1,701,448,515       15    132.9      151
S-40-2023_1_S1_L002_R2_001.clean.fastq.gz    FASTQ   DNA   12,802,284  1,701,669,944       15    132.9      151
S-40-2023_20_S20_L001_R1_001.clean.fastq.gz  FASTQ   DNA   23,291,302  3,116,639,027       15    133.8      151
S-40-2023_20_S20_L001_R2_001.clean.fastq.gz  FASTQ   DNA   23,291,302  3,116,937,457       15    133.8      151
S-40-2023_20_S20_L002_R1_001.clean.fastq.gz  FASTQ   DNA   22,913,150  3,057,945,662       15    133.5      151
S-40-2023_20_S20_L002_R2_001.clean.fastq.gz  FASTQ   DNA   22,913,150  3,058,260,214       15    133.5      151
S-40-2023_21_S21_L001_R1_001.clean.fastq.gz  FASTQ   DNA   15,327,807  2,018,810,390       16    131.7      151
S-40-2023_21_S21_L001_R2_001.clean.fastq.gz  FASTQ   DNA   15,327,807  2,019,105,841       15    131.7      151
S-40-2023_21_S21_L002_R1_001.clean.fastq.gz  FASTQ   DNA   15,088,152  1,981,817,055       15    131.3      151
S-40-2023_21_S21_L002_R2_001.clean.fastq.gz  FASTQ   DNA   15,088,152  1,982,114,941       15    131.4      151
S-40-2023_22_S22_L001_R1_001.clean.fastq.gz  FASTQ   DNA   34,309,787  4,496,845,314       15    131.1      151
S-40-2023_22_S22_L001_R2_001.clean.fastq.gz  FASTQ   DNA   34,309,787  4,497,558,811       15    131.1      151
S-40-2023_22_S22_L002_R1_001.clean.fastq.gz  FASTQ   DNA   33,857,152  4,426,034,814       15    130.7      151
S-40-2023_22_S22_L002_R2_001.clean.fastq.gz  FASTQ   DNA   33,857,152  4,426,767,268       15    130.7      151
S-40-2023_23_S23_L001_R1_001.clean.fastq.gz  FASTQ   DNA   28,525,474  3,860,550,734       15    135.3      151
S-40-2023_23_S23_L001_R2_001.clean.fastq.gz  FASTQ   DNA   28,525,474  3,860,817,477       15    135.3      151
S-40-2023_23_S23_L002_R1_001.clean.fastq.gz  FASTQ   DNA   28,101,507  3,794,417,396       15      135      151
S-40-2023_23_S23_L002_R2_001.clean.fastq.gz  FASTQ   DNA   28,101,507  3,794,682,825       15      135      151
S-40-2023_24_S24_L001_R1_001.clean.fastq.gz  FASTQ   DNA   20,759,187  2,734,459,039       15    131.7      151
S-40-2023_24_S24_L001_R2_001.clean.fastq.gz  FASTQ   DNA   20,759,187  2,734,872,487       15    131.7      151
S-40-2023_24_S24_L002_R1_001.clean.fastq.gz  FASTQ   DNA   20,460,649  2,687,845,496       15    131.4      151
S-40-2023_24_S24_L002_R2_001.clean.fastq.gz  FASTQ   DNA   20,460,649  2,688,255,891       15    131.4      151
S-40-2023_25_S1_L001_R1_001.clean.fastq.gz   FASTQ   DNA   15,891,651  2,081,543,486       16      131      151
S-40-2023_25_S1_L001_R2_001.clean.fastq.gz   FASTQ   DNA   15,891,651  2,081,759,878       16      131      151
S-40-2023_25_S1_L002_R1_001.clean.fastq.gz   FASTQ   DNA   16,389,135  2,147,374,865       15      131      151
S-40-2023_25_S1_L002_R2_001.clean.fastq.gz   FASTQ   DNA   16,389,135  2,147,597,415       15      131      151
S-40-2023_26_S2_L001_R1_001.clean.fastq.gz   FASTQ   DNA   18,810,348  2,496,110,789       16    132.7      151
S-40-2023_26_S2_L001_R2_001.clean.fastq.gz   FASTQ   DNA   18,810,348  2,496,316,933       15    132.7      151
S-40-2023_26_S2_L002_R1_001.clean.fastq.gz   FASTQ   DNA   19,321,244  2,565,218,461       15    132.8      151
S-40-2023_26_S2_L002_R2_001.clean.fastq.gz   FASTQ   DNA   19,321,244  2,565,395,289       15    132.8      151
S-40-2023_27_S3_L001_R1_001.clean.fastq.gz   FASTQ   DNA   21,591,621  2,876,797,722       17    133.2      151
S-40-2023_27_S3_L001_R2_001.clean.fastq.gz   FASTQ   DNA   21,591,621  2,876,990,308       15    133.2      151
S-40-2023_27_S3_L002_R1_001.clean.fastq.gz   FASTQ   DNA   22,278,596  2,970,701,711       16    133.3      151
S-40-2023_27_S3_L002_R2_001.clean.fastq.gz   FASTQ   DNA   22,278,596  2,970,883,894       15    133.4      151
S-40-2023_28_S4_L001_R1_001.clean.fastq.gz   FASTQ   DNA   18,529,751  2,451,467,491       15    132.3      151
S-40-2023_28_S4_L001_R2_001.clean.fastq.gz   FASTQ   DNA   18,529,751  2,451,721,418       15    132.3      151
S-40-2023_28_S4_L002_R1_001.clean.fastq.gz   FASTQ   DNA   19,080,917  2,525,565,075       16    132.4      151
S-40-2023_28_S4_L002_R2_001.clean.fastq.gz   FASTQ   DNA   19,080,917  2,525,806,351       15    132.4      151
S-40-2023_29_S5_L001_R1_001.clean.fastq.gz   FASTQ   DNA   17,224,496  2,285,730,847       16    132.7      151
S-40-2023_29_S5_L001_R2_001.clean.fastq.gz   FASTQ   DNA   17,224,496  2,285,898,273       15    132.7      151
S-40-2023_29_S5_L002_R1_001.clean.fastq.gz   FASTQ   DNA   17,688,351  2,348,418,338       15    132.8      151
S-40-2023_29_S5_L002_R2_001.clean.fastq.gz   FASTQ   DNA   17,688,351  2,348,567,584       15    132.8      151
S-40-2023_2_S2_L001_R1_001.clean.fastq.gz    FASTQ   DNA   15,560,171  2,089,492,355       15    134.3      151
S-40-2023_2_S2_L001_R2_001.clean.fastq.gz    FASTQ   DNA   15,560,171  2,089,664,369       15    134.3      151
S-40-2023_2_S2_L002_R1_001.clean.fastq.gz    FASTQ   DNA   15,255,441  2,044,350,837       15      134      151
S-40-2023_2_S2_L002_R2_001.clean.fastq.gz    FASTQ   DNA   15,255,441  2,044,523,595       15      134      151
S-40-2023_30_S6_L001_R1_001.clean.fastq.gz   FASTQ   DNA   18,719,615  2,458,643,542       15    131.3      151
S-40-2023_30_S6_L001_R2_001.clean.fastq.gz   FASTQ   DNA   18,719,615  2,459,003,825       15    131.4      151
S-40-2023_30_S6_L002_R1_001.clean.fastq.gz   FASTQ   DNA   19,324,787  2,539,757,771       15    131.4      151
S-40-2023_30_S6_L002_R2_001.clean.fastq.gz   FASTQ   DNA   19,324,787  2,540,096,001       16    131.4      151
S-40-2023_31_S7_L001_R1_001.clean.fastq.gz   FASTQ   DNA   17,458,750  2,306,498,194       15    132.1      151
S-40-2023_31_S7_L001_R2_001.clean.fastq.gz   FASTQ   DNA   17,458,750  2,306,663,081       16    132.1      151
S-40-2023_31_S7_L002_R1_001.clean.fastq.gz   FASTQ   DNA   18,017,221  2,382,096,389       15    132.2      151
S-40-2023_31_S7_L002_R2_001.clean.fastq.gz   FASTQ   DNA   18,017,221  2,382,241,878       15    132.2      151
S-40-2023_32_S8_L001_R1_001.clean.fastq.gz   FASTQ   DNA   14,215,900  1,901,518,725       16    133.8      151
S-40-2023_32_S8_L001_R2_001.clean.fastq.gz   FASTQ   DNA   14,215,900  1,901,683,079       15    133.8      151
S-40-2023_32_S8_L002_R1_001.clean.fastq.gz   FASTQ   DNA   14,648,207  1,960,287,996       15    133.8      151
S-40-2023_32_S8_L002_R2_001.clean.fastq.gz   FASTQ   DNA   14,648,207  1,960,451,792       15    133.8      151
S-40-2023_33_S9_L001_R1_001.clean.fastq.gz   FASTQ   DNA   12,059,640  1,585,465,104       15    131.5      151
S-40-2023_33_S9_L001_R2_001.clean.fastq.gz   FASTQ   DNA   12,059,640  1,585,617,993       15    131.5      151
S-40-2023_33_S9_L002_R1_001.clean.fastq.gz   FASTQ   DNA   12,396,508  1,630,470,258       15    131.5      151
S-40-2023_33_S9_L002_R2_001.clean.fastq.gz   FASTQ   DNA   12,396,508  1,630,606,990       15    131.5      151
S-40-2023_34_S10_L001_R1_001.clean.fastq.gz  FASTQ   DNA   14,911,671  1,967,585,276       16    131.9      151
S-40-2023_34_S10_L001_R2_001.clean.fastq.gz  FASTQ   DNA   14,911,671  1,967,772,773       15      132      151
S-40-2023_34_S10_L002_R1_001.clean.fastq.gz  FASTQ   DNA   15,283,902  2,018,035,285       15      132      151
S-40-2023_34_S10_L002_R2_001.clean.fastq.gz  FASTQ   DNA   15,283,902  2,018,200,262       16      132      151
S-40-2023_35_S11_L001_R1_001.clean.fastq.gz  FASTQ   DNA   17,780,237  2,371,793,279       15    133.4      151
S-40-2023_35_S11_L001_R2_001.clean.fastq.gz  FASTQ   DNA   17,780,237  2,371,963,952       15    133.4      151
S-40-2023_35_S11_L002_R1_001.clean.fastq.gz  FASTQ   DNA   18,346,665  2,448,762,360       15    133.5      151
S-40-2023_35_S11_L002_R2_001.clean.fastq.gz  FASTQ   DNA   18,346,665  2,448,935,476       16    133.5      151
S-40-2023_36_S12_L001_R1_001.clean.fastq.gz  FASTQ   DNA   21,890,166  2,894,945,126       15    132.2      151
S-40-2023_36_S12_L001_R2_001.clean.fastq.gz  FASTQ   DNA   21,890,166  2,895,135,458       15    132.3      151
S-40-2023_36_S12_L002_R1_001.clean.fastq.gz  FASTQ   DNA   22,509,696  2,978,799,781       16    132.3      151
S-40-2023_36_S12_L002_R2_001.clean.fastq.gz  FASTQ   DNA   22,509,696  2,978,965,221       15    132.3      151
S-40-2023_37_S13_L001_R1_001.clean.fastq.gz  FASTQ   DNA   23,471,754  3,115,404,246       15    132.7      151
S-40-2023_37_S13_L001_R2_001.clean.fastq.gz  FASTQ   DNA   23,471,754  3,115,695,622       15    132.7      151
S-40-2023_37_S13_L002_R1_001.clean.fastq.gz  FASTQ   DNA   24,093,760  3,199,571,209       15    132.8      151
S-40-2023_37_S13_L002_R2_001.clean.fastq.gz  FASTQ   DNA   24,093,760  3,199,821,973       16    132.8      151
S-40-2023_38_S14_L001_R1_001.clean.fastq.gz  FASTQ   DNA   29,482,779  3,873,382,365       15    131.4      151
S-40-2023_38_S14_L001_R2_001.clean.fastq.gz  FASTQ   DNA   29,482,779  3,873,850,854       15    131.4      151
S-40-2023_38_S14_L002_R1_001.clean.fastq.gz  FASTQ   DNA   30,498,866  4,011,215,104       15    131.5      151
S-40-2023_38_S14_L002_R2_001.clean.fastq.gz  FASTQ   DNA   30,498,866  4,011,649,993       15    131.5      151
S-40-2023_39_S15_L001_R1_001.clean.fastq.gz  FASTQ   DNA   18,526,769  2,425,937,736       15    130.9      151
S-40-2023_39_S15_L001_R2_001.clean.fastq.gz  FASTQ   DNA   18,526,769  2,426,180,700       15      131      151
S-40-2023_39_S15_L002_R1_001.clean.fastq.gz  FASTQ   DNA   19,055,498  2,496,152,341       15      131      151
S-40-2023_39_S15_L002_R2_001.clean.fastq.gz  FASTQ   DNA   19,055,498  2,496,378,222       15      131      151
S-40-2023_3_S3_L001_R1_001.clean.fastq.gz    FASTQ   DNA   25,258,310  3,281,397,203       15    129.9      151
S-40-2023_3_S3_L001_R2_001.clean.fastq.gz    FASTQ   DNA   25,258,310  3,281,778,250       15    129.9      151
S-40-2023_3_S3_L002_R1_001.clean.fastq.gz    FASTQ   DNA   24,884,694  3,223,977,086       15    129.6      151
S-40-2023_3_S3_L002_R2_001.clean.fastq.gz    FASTQ   DNA   24,884,694  3,224,374,053       15    129.6      151
S-40-2023_40_S16_L001_R1_001.clean.fastq.gz  FASTQ   DNA   19,277,180  2,541,670,706       15    131.8      151
S-40-2023_40_S16_L001_R2_001.clean.fastq.gz  FASTQ   DNA   19,277,180  2,541,867,747       15    131.9      151
S-40-2023_40_S16_L002_R1_001.clean.fastq.gz  FASTQ   DNA   19,938,517  2,631,103,987       15      132      151
S-40-2023_40_S16_L002_R2_001.clean.fastq.gz  FASTQ   DNA   19,938,517  2,631,284,803       15      132      151
S-40-2023_41_S17_L001_R1_001.clean.fastq.gz  FASTQ   DNA   15,867,418  2,079,881,810       17    131.1      151
S-40-2023_41_S17_L001_R2_001.clean.fastq.gz  FASTQ   DNA   15,867,418  2,080,044,750       15    131.1      151
S-40-2023_41_S17_L002_R1_001.clean.fastq.gz  FASTQ   DNA   16,323,742  2,140,586,285       15    131.1      151
S-40-2023_41_S17_L002_R2_001.clean.fastq.gz  FASTQ   DNA   16,323,742  2,140,743,178       15    131.1      151
S-40-2023_42_S18_L001_R1_001.clean.fastq.gz  FASTQ   DNA   19,853,734  2,616,261,191       17    131.8      151
S-40-2023_42_S18_L001_R2_001.clean.fastq.gz  FASTQ   DNA   19,853,734  2,616,451,009       16    131.8      151
S-40-2023_42_S18_L002_R1_001.clean.fastq.gz  FASTQ   DNA   20,415,830  2,691,989,333       15    131.9      151
S-40-2023_42_S18_L002_R2_001.clean.fastq.gz  FASTQ   DNA   20,415,830  2,692,167,160       15    131.9      151
S-40-2023_43_S19_L001_R1_001.clean.fastq.gz  FASTQ   DNA   13,169,928  1,742,200,684       15    132.3      151
S-40-2023_43_S19_L001_R2_001.clean.fastq.gz  FASTQ   DNA   13,169,928  1,742,346,081       15    132.3      151
S-40-2023_43_S19_L002_R1_001.clean.fastq.gz  FASTQ   DNA   13,526,907  1,790,101,899       15    132.3      151
S-40-2023_43_S19_L002_R2_001.clean.fastq.gz  FASTQ   DNA   13,526,907  1,790,234,128       15    132.3      151
S-40-2023_44_S20_L001_R1_001.clean.fastq.gz  FASTQ   DNA   16,084,380  2,127,620,872       16    132.3      151
S-40-2023_44_S20_L001_R2_001.clean.fastq.gz  FASTQ   DNA   16,084,380  2,127,886,192       15    132.3      151
S-40-2023_44_S20_L002_R1_001.clean.fastq.gz  FASTQ   DNA   16,495,623  2,183,525,385       15    132.4      151
S-40-2023_44_S20_L002_R2_001.clean.fastq.gz  FASTQ   DNA   16,495,623  2,183,762,006       15    132.4      151
S-40-2023_45_S21_L001_R1_001.clean.fastq.gz  FASTQ   DNA   22,219,227  2,910,465,958       16      131      151
S-40-2023_45_S21_L001_R2_001.clean.fastq.gz  FASTQ   DNA   22,219,227  2,910,747,569       15      131      151
S-40-2023_45_S21_L002_R1_001.clean.fastq.gz  FASTQ   DNA   22,870,923  2,998,030,268       15    131.1      151
S-40-2023_45_S21_L002_R2_001.clean.fastq.gz  FASTQ   DNA   22,870,923  2,998,290,903       15    131.1      151
S-40-2023_46_S22_L001_R1_001.clean.fastq.gz  FASTQ   DNA   17,978,316  2,398,860,361       15    133.4      151
S-40-2023_46_S22_L001_R2_001.clean.fastq.gz  FASTQ   DNA   17,978,316  2,399,020,533       17    133.4      151
S-40-2023_46_S22_L002_R1_001.clean.fastq.gz  FASTQ   DNA   18,532,156  2,474,870,536       15    133.5      151
S-40-2023_46_S22_L002_R2_001.clean.fastq.gz  FASTQ   DNA   18,532,156  2,475,015,554       15    133.6      151
S-40-2023_48_S24_L001_R1_001.clean.fastq.gz  FASTQ   DNA   19,753,089  2,641,947,688       15    133.7      151
S-40-2023_48_S24_L001_R2_001.clean.fastq.gz  FASTQ   DNA   19,753,089  2,642,154,208       15    133.8      151
S-40-2023_48_S24_L002_R1_001.clean.fastq.gz  FASTQ   DNA   20,311,019  2,717,993,011       15    133.8      151
S-40-2023_48_S24_L002_R2_001.clean.fastq.gz  FASTQ   DNA   20,311,019  2,718,158,415       15    133.8      151
S-40-2023_49_S1_L001_R1_001.clean.fastq.gz   FASTQ   DNA   13,897,687  1,844,185,868       15    132.7      151
S-40-2023_49_S1_L001_R2_001.clean.fastq.gz   FASTQ   DNA   13,897,687  1,844,471,946       15    132.7      151
S-40-2023_49_S1_L002_R1_001.clean.fastq.gz   FASTQ   DNA   13,460,233  1,782,012,510       15    132.4      151
S-40-2023_49_S1_L002_R2_001.clean.fastq.gz   FASTQ   DNA   13,460,233  1,782,295,663       15    132.4      151
S-40-2023_4_S4_L001_R1_001.clean.fastq.gz    FASTQ   DNA   15,621,993  2,104,809,793       15    134.7      151
S-40-2023_4_S4_L001_R2_001.clean.fastq.gz    FASTQ   DNA   15,621,993  2,105,012,496       15    134.7      151
S-40-2023_4_S4_L002_R1_001.clean.fastq.gz    FASTQ   DNA   15,376,357  2,066,274,889       15    134.4      151
S-40-2023_4_S4_L002_R2_001.clean.fastq.gz    FASTQ   DNA   15,376,357  2,066,488,155       16    134.4      151
S-40-2023_50_S2_L001_R1_001.clean.fastq.gz   FASTQ   DNA   24,730,447  3,286,311,252       15    132.9      151
S-40-2023_50_S2_L001_R2_001.clean.fastq.gz   FASTQ   DNA   24,730,447  3,286,945,341       15    132.9      151
S-40-2023_50_S2_L002_R1_001.clean.fastq.gz   FASTQ   DNA   23,984,788  3,178,904,544       15    132.5      151
S-40-2023_50_S2_L002_R2_001.clean.fastq.gz   FASTQ   DNA   23,984,788  3,179,512,787       15    132.6      151
S-40-2023_51_S3_L001_R1_001.clean.fastq.gz   FASTQ   DNA   18,865,126  2,515,432,500       15    133.3      151
S-40-2023_51_S3_L001_R2_001.clean.fastq.gz   FASTQ   DNA   18,865,126  2,515,748,837       15    133.4      151
S-40-2023_51_S3_L002_R1_001.clean.fastq.gz   FASTQ   DNA   18,321,527  2,437,138,774       15      133      151
S-40-2023_51_S3_L002_R2_001.clean.fastq.gz   FASTQ   DNA   18,321,527  2,437,447,708       15      133      151
S-40-2023_52_S4_L001_R1_001.clean.fastq.gz   FASTQ   DNA   17,882,852  2,398,336,162       15    134.1      151
S-40-2023_52_S4_L001_R2_001.clean.fastq.gz   FASTQ   DNA   17,882,852  2,398,705,928       15    134.1      151
S-40-2023_52_S4_L002_R1_001.clean.fastq.gz   FASTQ   DNA   17,301,554  2,314,232,576       15    133.8      151
S-40-2023_52_S4_L002_R2_001.clean.fastq.gz   FASTQ   DNA   17,301,554  2,314,602,999       15    133.8      151
S-40-2023_53_S5_L001_R1_001.clean.fastq.gz   FASTQ   DNA   18,460,625  2,473,482,981       15      134      151
S-40-2023_53_S5_L001_R2_001.clean.fastq.gz   FASTQ   DNA   18,460,625  2,473,780,791       15      134      151
S-40-2023_53_S5_L002_R1_001.clean.fastq.gz   FASTQ   DNA   17,892,124  2,391,961,490       15    133.7      151
S-40-2023_53_S5_L002_R2_001.clean.fastq.gz   FASTQ   DNA   17,892,124  2,392,246,302       15    133.7      151
S-40-2023_54_S6_L001_R1_001.clean.fastq.gz   FASTQ   DNA   15,815,917  2,101,551,243       16    132.9      151
S-40-2023_54_S6_L001_R2_001.clean.fastq.gz   FASTQ   DNA   15,815,917  2,101,890,483       15    132.9      151
S-40-2023_54_S6_L002_R1_001.clean.fastq.gz   FASTQ   DNA   15,324,544  2,031,306,977       16    132.6      151
S-40-2023_54_S6_L002_R2_001.clean.fastq.gz   FASTQ   DNA   15,324,544  2,031,640,797       15    132.6      151
S-40-2023_55_S7_L001_R1_001.clean.fastq.gz   FASTQ   DNA   19,052,206  2,538,670,190       16    133.2      151
S-40-2023_55_S7_L001_R2_001.clean.fastq.gz   FASTQ   DNA   19,052,206  2,539,196,657       15    133.3      151
S-40-2023_55_S7_L002_R1_001.clean.fastq.gz   FASTQ   DNA   18,477,598  2,456,677,876       15      133      151
S-40-2023_55_S7_L002_R2_001.clean.fastq.gz   FASTQ   DNA   18,477,598  2,457,194,642       15      133      151
S-40-2023_56_S8_L001_R1_001.clean.fastq.gz   FASTQ   DNA   15,611,802  2,066,233,517       15    132.4      151
S-40-2023_56_S8_L001_R2_001.clean.fastq.gz   FASTQ   DNA   15,611,802  2,066,711,178       15    132.4      151
S-40-2023_56_S8_L002_R1_001.clean.fastq.gz   FASTQ   DNA   15,123,264  1,996,219,143       16      132      151
S-40-2023_56_S8_L002_R2_001.clean.fastq.gz   FASTQ   DNA   15,123,264  1,996,682,802       15      132      151
S-40-2023_57_S9_L001_R1_001.clean.fastq.gz   FASTQ   DNA   16,830,113  2,208,386,223       18    131.2      151
S-40-2023_57_S9_L001_R2_001.clean.fastq.gz   FASTQ   DNA   16,830,113  2,208,861,460       15    131.2      151
S-40-2023_57_S9_L002_R1_001.clean.fastq.gz   FASTQ   DNA   16,284,133  2,131,694,281       15    130.9      151
S-40-2023_57_S9_L002_R2_001.clean.fastq.gz   FASTQ   DNA   16,284,133  2,132,152,795       15    130.9      151
S-40-2023_58_S10_L001_R1_001.clean.fastq.gz  FASTQ   DNA   18,515,001  2,486,602,514       15    134.3      151
S-40-2023_58_S10_L001_R2_001.clean.fastq.gz  FASTQ   DNA   18,515,001  2,486,985,669       15    134.3      151
S-40-2023_58_S10_L002_R1_001.clean.fastq.gz  FASTQ   DNA   17,903,979  2,399,065,134       15      134      151
S-40-2023_58_S10_L002_R2_001.clean.fastq.gz  FASTQ   DNA   17,903,979  2,399,439,119       15      134      151
S-40-2023_59_S11_L001_R1_001.clean.fastq.gz  FASTQ   DNA   17,204,929  2,258,736,685       15    131.3      151
S-40-2023_59_S11_L001_R2_001.clean.fastq.gz  FASTQ   DNA   17,204,929  2,259,209,661       15    131.3      151
S-40-2023_59_S11_L002_R1_001.clean.fastq.gz  FASTQ   DNA   16,671,551  2,183,518,147       15      131      151
S-40-2023_59_S11_L002_R2_001.clean.fastq.gz  FASTQ   DNA   16,671,551  2,183,976,283       15      131      151
S-40-2023_5_S5_L001_R1_001.clean.fastq.gz    FASTQ   DNA   15,894,601  2,112,867,805       16    132.9      151
S-40-2023_5_S5_L001_R2_001.clean.fastq.gz    FASTQ   DNA   15,894,601  2,113,144,478       15    132.9      151
S-40-2023_5_S5_L002_R1_001.clean.fastq.gz    FASTQ   DNA   15,648,411  2,073,885,017       15    132.5      151
S-40-2023_5_S5_L002_R2_001.clean.fastq.gz    FASTQ   DNA   15,648,411  2,074,168,985       15    132.5      151
S-40-2023_60_S12_L001_R1_001.clean.fastq.gz  FASTQ   DNA   14,594,983  1,931,159,760       15    132.3      151
S-40-2023_60_S12_L001_R2_001.clean.fastq.gz  FASTQ   DNA   14,594,983  1,931,495,960       15    132.3      151
S-40-2023_60_S12_L002_R1_001.clean.fastq.gz  FASTQ   DNA   14,153,238  1,868,308,368       15      132      151
S-40-2023_60_S12_L002_R2_001.clean.fastq.gz  FASTQ   DNA   14,153,238  1,868,639,381       15      132      151
S-40-2023_61_S13_L001_R1_001.clean.fastq.gz  FASTQ   DNA   21,118,359  2,789,667,844       17    132.1      151
S-40-2023_61_S13_L001_R2_001.clean.fastq.gz  FASTQ   DNA   21,118,359  2,790,128,897       16    132.1      151
S-40-2023_61_S13_L002_R1_001.clean.fastq.gz  FASTQ   DNA   20,545,931  2,707,100,681       15    131.8      151
S-40-2023_61_S13_L002_R2_001.clean.fastq.gz  FASTQ   DNA   20,545,931  2,707,549,898       15    131.8      151
S-40-2023_62_S14_L001_R1_001.clean.fastq.gz  FASTQ   DNA   18,480,054  2,452,586,903       15    132.7      151
